id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
6960025,education,450352,2571430,1186971,1,84,276,120,2
6682853,education,380849,2571458,1189133,1,84,276,120,2
7082595,education,370107,2575916,1191020,1,84,276,120,2
6682482,education,380332,2576304,1185284,1,84,276,120,2
6682186,education,375697,2569734,1192310,1,84,276,120,2
6681895,education,380332,2576304,1185284,1,84,276,120,2
6682799,education,375697,2569734,1192310,1,84,276,120,2
6682045,education,382576,2570980,1191815,1,84,276,120,2
6681618,education,377155,2577784,1183910,1,84,276,120,2
6682521,education,377255,2561744,1185833,1,84,276,120,2
6976225,education,377159,2577930,1184036,1,84,276,120,2
6948687,education,377255,2561744,1185833,1,84,276,120,2
6682558,education,382431,2576304,1190422,1,84,276,120,2
6682016,education,313980,2562008,1184975,1,84,276,120,2
6946267,education,375697,2569734,1192310,1,84,276,120,2
7090646,education,379776,2572034,1192548,1,84,276,120,2
6682768,education,376646,2575936,1196944,1,84,276,120,2
6940248,education,450352,2571430,1186971,1,84,276,120,2
7128622,education,375697,2569734,1192310,1,84,276,120,2
6682899,education,382537,2569734,1192310,1,84,276,120,2
6682450,education,380332,2576304,1185284,1,84,276,120,2
6459200,education,380332,2576304,1185284,1,84,276,120,2
6682824,education,380301,2577812,1186419,1,84,276,120,2
6960025,education,450352,2571430,1186971,1,84,276,120,2
6681841,education,313980,2562008,1184975,1,84,276,120,2
6681881,education,382576,2570980,1191815,1,84,276,120,2
7123712,education,376646,2575936,1196944,1,84,276,120,2
6681566,education,375697,2569734,1192310,1,84,276,120,2
7046280,education,380301,2577812,1186419,1,84,276,120,2
6682969,education,380332,2576304,1185284,1,84,276,120,2
7092571,education,380332,2576304,1185284,1,84,276,120,2
6682302,education,375697,2569734,1192310,1,84,276,120,2
6682289,education,382537,2569734,1192310,1,84,276,120,2
6682016,education,313980,2562008,1184975,1,84,276,120,2
6681959,education,376648,2579444,1193487,1,84,276,120,2
6938110,education,381922,2567712,1190524,1,84,276,120,2
6940930,education,379241,2577788,1186390,1,84,276,120,2
6681769,education,379776,2572034,1192548,1,84,276,120,2
6986383,education,382431,2576304,1190422,1,84,276,120,2
