id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
6747891,education,217410,2537358,1153043,1,84,276,120,2
6738488,education,94372,2538116,1151548,1,84,276,120,2
6736204,education,211083,2539212,1153303,1,84,276,120,2
6985645,education,380987,2539682,1152573,1,84,276,120,2
6745730,education,381512,2539730,1153277,1,84,276,120,2
7021754,education,27715,2537646,1152565,1,84,276,120,2
6724235,education,27718,2538186,1152254,1,84,276,120,2
6720753,education,287023,2537222,1154037,1,84,276,120,2
6443461,education,441942,2538276,1153456,1,84,276,120,2
7073089,education,385661,2537570,1155012,1,84,276,120,2
6951202,education,94372,2538116,1151548,1,84,276,120,2
7007658,education,223384,2539338,1154680,1,84,276,120,2
7107463,education,381504,2536512,1152284,1,84,276,120,2
6743962,education,450177,2536762,1153637,1,84,276,120,2
7067210,education,382543,2536026,1152681,1,84,276,120,2
7009947,education,391984,2539682,1152573,1,84,276,120,2
6917735,education,381491,2536872,1153141,1,84,276,120,2
6934614,education,377274,2538078,1151306,1,84,276,120,2
6654418,education,14540,2539850,1153150,1,84,276,120,2
7086842,education,377274,2538078,1151306,1,84,276,120,2
7133265,education,134805,2537756,1152285,1,84,276,120,2
6983016,education,384608,2537452,1151970,1,84,276,120,2
6716250,education,376223,2538432,1152885,1,84,276,120,2
7013514,education,378320,2537434,1153205,1,84,276,120,2
6724197,education,381512,2539730,1153277,1,84,276,120,2
6966873,education,94195,2536624,1154450,1,84,276,120,2
6500604,education,357055,2537870,1153720,1,84,276,120,2
6722665,education,619782,2537066,1152764,1,84,276,120,2
7052818,education,385661,2537570,1155012,1,84,276,120,2
7084777,education,376779,2537352,1152668,1,84,276,120,2
6714556,education,377274,2538078,1151306,1,84,276,120,2
6485711,education,376744,2534760,1154330,1,84,276,120,2
6723657,education,246993,2537792,1153196,1,84,276,120,2
7119111,education,447980,2536540,1153274,1,84,276,120,2
6354553,education,379870,2536436,1152822,1,84,276,120,2
6731741,education,376222,2538886,1153175,1,84,276,120,2
7093541,education,377273,2539276,1154726,1,84,276,120,2
6721330,education,94198,2539422,1152126,1,84,276,120,2
6747112,education,217410,2537358,1153043,1,84,276,120,2
6715734,education,381493,2540626,1154373,1,84,276,120,2
6616515,education,440594,2536654,1151874,1,84,276,120,2
6741761,education,376224,2539090,1152843,1,84,276,120,2
6728689,education,105652,2539714,1153331,1,84,276,120,2
7121741,education,382543,2536026,1152681,1,84,276,120,2
7082139,education,94198,2539422,1152126,1,84,276,120,2
6718549,education,378320,2537434,1153205,1,84,276,120,2
6740305,education,447980,2536540,1153274,1,84,276,120,2
6746267,education,378321,2538302,1152719,1,84,276,120,2
6936656,education,380404,2537290,1151607,1,84,276,120,2
6731778,education,381490,2538390,1153379,1,84,276,120,2
7025419,education,383054,2537240,1152746,1,84,276,120,2
6997630,education,129865,2538580,1155020,1,84,276,120,2
6942849,education,376210,2540310,1154601,1,84,276,120,2
7098742,education,376744,2534760,1154330,1,84,276,120,2
6444189,education,382539,2538698,1152910,1,84,276,120,2
7061391,education,380988,2537022,1152473,1,84,276,120,2
7114282,education,382538,2537022,1152473,1,84,276,120,2
6614727,education,608299,2537676,1152244,1,84,276,120,2
6727884,education,381512,2539730,1153277,1,84,276,120,2
6737081,education,377272,2538276,1153687,1,84,276,120,2
6941397,education,377276,2537240,1153624,1,84,276,120,2
6737657,education,377276,2537240,1153624,1,84,276,120,2
6728397,education,385135,2538076,1153898,1,84,276,120,2
6742271,education,287023,2537222,1154037,1,84,276,120,2
6973647,education,382539,2538698,1152910,1,84,276,120,2
6716537,education,287023,2537222,1154037,1,84,276,120,2
7034775,education,377775,2537140,1152423,1,84,276,120,2
6640732,education,376210,2540310,1154601,1,84,276,120,2
6721335,education,381506,2537570,1155012,1,84,276,120,2
6486160,education,27715,2537646,1152565,1,84,276,120,2
7098207,education,134810,2537694,1152963,1,84,276,120,2
7124790,education,377276,2537240,1153624,1,84,276,120,2
6615793,education,382539,2538698,1152910,1,84,276,120,2
7113574,education,385131,2538006,1153123,1,84,276,120,2
6747057,education,382539,2538698,1152910,1,84,276,120,2
6746768,education,379370,2535314,1153022,1,84,276,120,2
6352954,education,136467,2539164,1152209,1,84,276,120,2
6729426,education,382543,2536026,1152681,1,84,276,120,2
6748480,education,380990,2539276,1154726,1,84,276,120,2
7074801,education,381513,2536674,1153907,1,84,276,120,2
6721401,education,381510,2535856,1152632,1,84,276,120,2
6729633,education,384608,2537452,1151970,1,84,276,120,2
6347813,education,382539,2538698,1152910,1,84,276,120,2
6725605,education,94371,2538122,1151600,1,84,276,120,2
6733409,education,381497,2539754,1153662,1,84,276,120,2
6725129,education,94372,2538116,1151548,1,84,276,120,2
6337506,education,382539,2538698,1152910,1,84,276,120,2
6726074,education,94371,2538122,1151600,1,84,276,120,2
6357778,education,136467,2539164,1152209,1,84,276,120,2
6745963,education,379370,2535314,1153022,1,84,276,120,2
6721393,education,450177,2536762,1153637,1,84,276,120,2
7061820,education,381503,2538006,1153123,1,84,276,120,2
6949382,education,381518,2537468,1153271,1,84,276,120,2
6738184,education,385661,2537570,1155012,1,84,276,120,2
6750427,education,377276,2537240,1153624,1,84,276,120,2
6719244,education,94372,2538116,1151548,1,84,276,120,2
7117154,education,380404,2537290,1151607,1,84,276,120,2
7130011,education,391993,2536948,1153952,1,84,276,120,2
6725694,education,287023,2537222,1154037,1,84,276,120,2
6633128,education,205205,2539268,1151837,1,84,276,120,2
6495133,education,27714,2538186,1152254,1,84,276,120,2
7068890,education,381489,2538852,1151866,1,84,276,120,2
6739937,education,383051,2536866,1152830,1,84,276,120,2
6714998,education,381496,2536948,1153952,1,84,276,120,2
6728351,education,377254,2536228,1154259,1,84,276,120,2
7059469,education,377274,2538078,1151306,1,84,276,120,2
7114153,education,386206,2538040,1154345,1,84,276,120,2
7133991,education,376779,2537352,1152668,1,84,276,120,2
6946813,education,297934,2538496,1152387,1,84,276,120,2
7088479,education,378321,2538302,1152719,1,84,276,120,2
7081335,education,377275,2538936,1152574,1,84,276,120,2
6726473,education,377275,2538936,1152574,1,84,276,120,2
6427682,education,382540,2534430,1152695,1,84,276,120,2
7038391,education,94372,2538116,1151548,1,84,276,120,2
6972855,education,384628,2539304,1151885,1,84,276,120,2
6640206,education,27714,2538186,1152254,1,84,276,120,2
6731547,education,380994,2538138,1154267,1,84,276,120,2
6731020,education,27718,2538186,1152254,1,84,276,120,2
7128004,education,443001,2535726,1152184,1,84,276,120,2
6439229,education,382539,2538698,1152910,1,84,276,120,2
7047281,education,379370,2535314,1153022,1,84,276,120,2
7031859,education,377276,2537240,1153624,1,84,276,120,2
7068258,education,94372,2538116,1151548,1,84,276,120,2
7113037,education,386205,2537432,1151613,1,84,276,120,2
7091744,education,381499,2537452,1151970,1,84,276,120,2
6714560,education,376208,2538364,1152844,1,84,276,120,2
6348712,education,27715,2537646,1152565,1,84,276,120,2
7066498,education,309786,2538246,1153056,1,84,276,120,2
