id,group,facility,start,duration,end_time,x,y,deviation_start,deviation_dur,total_deviation_start,total_deviation_dur,utility,DSSR_iterations,execution_time,cum_utility
6326400,home,home2781009,00:00:00,00:05:00,00:05:00,2569685,1192500,00:00:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,0.0
6326400,home,home2781009,00:05:00,07:05:00,07:10:00,2569685,1192500,00:00:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,0.0
6326400,work,237806,07:15:00,00:15:00,07:30:00,2569716,1192131,00:10:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,-13.0
6326400,home,home2781009,07:35:00,03:35:00,11:10:00,2569685,1192500,00:10:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,-12.9
6326400,shop,381921,11:10:00,00:15:00,11:25:00,2567684,1190696,01:10:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,-23.4
6326400,home,home2781009,11:25:00,01:15:00,12:40:00,2569685,1192500,01:10:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,-23.4
6326400,education,377679,12:40:00,01:50:00,14:30:00,2577388,1184855,01:20:00,00:00:00,01:20:00,00:10:00,-42.1,2,0.058,-42.1
6326400,home,home2781009,14:30:00,02:30:00,17:00:00,2569685,1192500,01:20:00,00:10:00,01:20:00,00:10:00,-42.1,2,0.058,-42.1
6326400,home,home2781009,17:00:00,07:00:00,23:59:00,2569685,1192500,01:20:00,00:10:00,01:20:00,00:10:00,-42.1,2,0.058,-42.1
6326440,home,home2781049,00:00:00,00:05:00,00:05:00,2570010,1192712,00:00:00,00:00:00,02:20:00,00:20:00,-17.248,12,0.086,0.0
6326440,home,home2781049,00:05:00,13:00:00,13:05:00,2570010,1192712,00:00:00,00:00:00,02:20:00,00:20:00,-17.248,12,0.086,0.0
6326440,shop,380332,13:05:00,00:15:00,13:20:00,2576304,1185284,01:00:00,00:00:00,02:20:00,00:20:00,-17.248,12,0.086,-10.5
6326440,home,home2781049,13:20:00,03:30:00,16:50:00,2570010,1192712,01:00:00,00:00:00,02:20:00,00:20:00,-17.248,12,0.086,-10.5
6326440,leisure,377159,16:50:00,00:10:00,17:00:00,2577930,1184036,02:20:00,00:00:00,02:20:00,00:20:00,-17.248,12,0.086,-17.248
6326440,home,home2781049,17:00:00,07:00:00,23:59:00,2570010,1192712,02:20:00,00:20:00,02:20:00,00:20:00,-17.248,12,0.086,-17.248
6326513,home,home2781122,00:00:00,00:05:00,00:05:00,2569717,1192131,00:00:00,00:00:00,02:10:00,01:10:00,-30.94,2,0.014,0.0
6326513,home,home2781122,00:05:00,07:05:00,07:10:00,2569717,1192131,00:00:00,00:00:00,02:10:00,01:10:00,-30.94,2,0.014,0.0
6326513,work,9185,07:45:00,01:10:00,08:55:00,2572500,1181906,00:10:00,00:00:00,02:10:00,01:10:00,-30.94,2,0.014,-12.4
6326513,home,home2781122,09:30:00,01:55:00,11:25:00,2569717,1192131,00:10:00,00:10:00,02:10:00,01:10:00,-30.94,2,0.014,-11.7
6326513,leisure,381922,11:25:00,00:15:00,11:40:00,2567712,1190524,01:10:00,00:10:00,02:10:00,01:10:00,-30.94,2,0.014,-20.44
6326513,home,home2781122,11:40:00,03:40:00,15:20:00,2569717,1192131,01:10:00,01:00:00,02:10:00,01:10:00,-30.94,2,0.014,-20.44
6326513,shop,377155,15:20:00,00:15:00,15:35:00,2577784,1183910,02:10:00,01:00:00,02:10:00,01:10:00,-30.94,2,0.014,-30.94
6326513,home,home2781122,15:35:00,01:25:00,17:00:00,2569717,1192131,02:10:00,01:10:00,02:10:00,01:10:00,-30.94,2,0.014,-30.94
6326513,home,home2781122,17:00:00,07:00:00,23:59:00,2569717,1192131,02:10:00,01:10:00,02:10:00,01:10:00,-30.94,2,0.014,-30.94
6326604,home,home2781213,00:00:00,00:05:00,00:05:00,2569570,1192037,00:00:00,00:00:00,01:45:00,01:20:00,-29.94,1,0.01,0.0
6326604,home,home2781213,00:05:00,06:55:00,07:00:00,2569570,1192037,00:00:00,00:00:00,01:45:00,01:20:00,-29.94,1,0.01,0.0
6326604,shop,377159,07:00:00,00:15:00,07:15:00,2577930,1184036,00:55:00,00:00:00,01:45:00,01:20:00,-29.94,1,0.01,-10.5
6326604,home,home2781213,07:15:00,02:15:00,09:30:00,2569570,1192037,00:55:00,00:10:00,01:45:00,01:20:00,-29.94,1,0.01,-10.5
6326604,work,217533,10:30:00,02:15:00,12:45:00,2563648,1174083,01:05:00,00:10:00,01:45:00,01:20:00,-29.94,1,0.01,-22.4
6326604,home,home2781213,13:45:00,00:05:00,13:50:00,2569570,1192037,01:05:00,00:20:00,01:45:00,01:20:00,-29.94,1,0.01,-21.2
6326604,leisure,381922,13:50:00,02:55:00,16:45:00,2567712,1190524,01:45:00,00:20:00,01:45:00,01:20:00,-29.94,1,0.01,-29.94
6326604,home,home2781213,16:45:00,00:15:00,17:00:00,2569570,1192037,01:45:00,01:20:00,01:45:00,01:20:00,-29.94,1,0.01,-29.94
6326604,home,home2781213,17:00:00,07:00:00,23:59:00,2569570,1192037,01:45:00,01:20:00,01:45:00,01:20:00,-29.94,1,0.01,-29.94
6326735,home,home2781344,00:00:00,00:05:00,00:05:00,2569797,1191932,00:00:00,00:00:00,01:20:00,00:10:00,-23.4,1,0.01,0.0
6326735,home,home2781344,00:05:00,04:50:00,04:55:00,2569797,1191932,00:00:00,00:00:00,01:20:00,00:10:00,-23.4,1,0.01,0.0
6326735,work,460060,05:00:00,04:50:00,09:50:00,2569768,1193152,00:20:00,00:00:00,01:20:00,00:10:00,-23.4,1,0.01,-13.0
6326735,home,home2781344,09:55:00,00:55:00,10:50:00,2569797,1191932,00:20:00,00:10:00,01:20:00,00:10:00,-23.4,1,0.01,-12.9
6326735,shop,377155,10:50:00,00:15:00,11:05:00,2577784,1183910,01:20:00,00:10:00,01:20:00,00:10:00,-23.4,1,0.01,-23.4
6326735,home,home2781344,11:05:00,05:55:00,17:00:00,2569797,1191932,01:20:00,00:10:00,01:20:00,00:10:00,-23.4,1,0.01,-23.4
6326735,home,home2781344,17:00:00,07:00:00,23:59:00,2569797,1191932,01:20:00,00:10:00,01:20:00,00:10:00,-23.4,1,0.01,-23.4
6458764,home,home2907767,00:00:00,00:05:00,00:05:00,2569655,1192134,00:00:00,00:00:00,01:10:00,00:45:00,-22.6,1,0.009,0.0
6458764,home,home2907767,00:05:00,08:00:00,08:05:00,2569655,1192134,00:00:00,00:00:00,01:10:00,00:45:00,-22.6,1,0.009,0.0
6458764,shop,377155,08:05:00,00:15:00,08:20:00,2577784,1183910,01:00:00,00:00:00,01:10:00,00:45:00,-22.6,1,0.009,-10.5
6458764,home,home2907767,08:20:00,04:20:00,12:40:00,2569655,1192134,01:00:00,00:35:00,01:10:00,00:45:00,-22.6,1,0.009,-10.5
6458764,work,331301,13:05:00,02:50:00,15:55:00,2575364,1197238,01:10:00,00:35:00,01:10:00,00:45:00,-22.6,1,0.009,-23.1
6458764,home,home2907767,16:20:00,00:40:00,17:00:00,2569655,1192134,01:10:00,00:45:00,01:10:00,00:45:00,-22.6,1,0.009,-22.6
6458764,home,home2907767,17:00:00,07:00:00,23:59:00,2569655,1192134,01:10:00,00:45:00,01:10:00,00:45:00,-22.6,1,0.009,-22.6
6681674,home,home3013980,00:00:00,00:05:00,00:05:00,2569570,1192480,00:00:00,00:00:00,02:00:00,00:55:00,-19.24,3,0.025,0.0
6681674,home,home3013980,00:05:00,12:40:00,12:45:00,2569570,1192480,00:00:00,00:00:00,02:00:00,00:55:00,-19.24,3,0.025,0.0
6681674,leisure,370107,12:45:00,00:15:00,13:00:00,2575916,1191020,01:00:00,00:00:00,02:00:00,00:55:00,-19.24,3,0.025,-8.74
6681674,home,home3013980,13:00:00,00:05:00,13:05:00,2569570,1192480,01:00:00,00:40:00,02:00:00,00:55:00,-19.24,3,0.025,-8.74
6681674,shop,377155,13:05:00,00:15:00,13:20:00,2577784,1183910,02:00:00,00:40:00,02:00:00,00:55:00,-19.24,3,0.025,-19.24
6681674,home,home3013980,13:20:00,03:40:00,17:00:00,2569570,1192480,02:00:00,00:55:00,02:00:00,00:55:00,-19.24,3,0.025,-19.24
6681674,home,home3013980,17:00:00,07:00:00,23:59:00,2569570,1192480,02:00:00,00:55:00,02:00:00,00:55:00,-19.24,3,0.025,-19.24
6681763,home,home3014002,00:00:00,00:05:00,00:05:00,2569592,1192838,00:00:00,00:00:00,02:30:00,00:15:00,-29.348,11,0.081,0.0
6681763,home,home3014002,00:05:00,11:35:00,11:40:00,2569592,1192838,00:00:00,00:00:00,02:30:00,00:15:00,-29.348,11,0.081,0.0
6681763,work,331301,12:05:00,00:15:00,12:20:00,2575364,1197238,00:10:00,00:00:00,02:30:00,00:15:00,-29.348,11,0.081,-12.6
6681763,home,home3014002,12:45:00,00:50:00,13:35:00,2569592,1192838,00:10:00,00:05:00,02:30:00,00:15:00,-29.348,11,0.081,-12.1
6681763,shop,377159,13:35:00,00:15:00,13:50:00,2577930,1184036,01:10:00,00:05:00,02:30:00,00:15:00,-29.348,11,0.081,-22.6
