id,group,facility,start,duration,end_time,x,y,deviation_start,deviation_dur,total_deviation_start,total_deviation_dur,utility,DSSR_iterations,execution_time,cum_utility
6326400,home,home2781009,00:00:00,00:05:00,00:05:00,2569685,1192500,00:00:00,00:00:00,01:10:00,01:10:00,-27.44,0,0.003,0.0
6326400,home,home2781009,00:05:00,12:35:00,12:40:00,2569685,1192500,00:00:00,00:00:00,01:10:00,01:10:00,-27.44,0,0.003,0.0
6326400,education,377679,12:40:00,01:50:00,14:30:00,2577388,1184855,00:10:00,00:00:00,01:10:00,01:10:00,-27.44,0,0.003,-18.7
6326400,home,home2781009,14:30:00,00:15:00,14:45:00,2569685,1192500,00:10:00,00:10:00,01:10:00,01:10:00,-27.44,0,0.003,-18.7
6326400,leisure,377155,14:45:00,03:50:00,18:35:00,2577784,1183910,01:10:00,00:10:00,01:10:00,01:10:00,-27.44,0,0.003,-27.44
6326400,home,home2781009,18:35:00,05:15:00,23:50:00,2569685,1192500,01:10:00,01:10:00,01:10:00,01:10:00,-27.44,0,0.003,-27.44
6326400,home,home2781009,23:50:00,00:10:00,23:59:00,2569685,1192500,01:10:00,01:10:00,01:10:00,01:10:00,-27.44,0,0.003,-27.44
6326440,home,home2781049,00:00:00,00:05:00,00:05:00,2570010,1192712,00:00:00,00:00:00,01:00:00,00:15:00,-8.74,1,0.007,0.0
6326440,home,home2781049,00:05:00,17:05:00,17:10:00,2570010,1192712,00:00:00,00:00:00,01:00:00,00:15:00,-8.74,1,0.007,0.0
6326440,leisure,377159,17:10:00,00:15:00,17:25:00,2577930,1184036,01:00:00,00:00:00,01:00:00,00:15:00,-8.74,1,0.007,-8.74
6326440,home,home2781049,17:25:00,06:25:00,23:50:00,2570010,1192712,01:00:00,00:15:00,01:00:00,00:15:00,-8.74,1,0.007,-8.74
6326440,home,home2781049,23:50:00,00:10:00,23:59:00,2570010,1192712,01:00:00,00:15:00,01:00:00,00:15:00,-8.74,1,0.007,-8.74
6326513,home,home2781122,00:00:00,00:05:00,00:05:00,2569717,1192131,00:00:00,00:00:00,01:00:00,00:50:00,-8.74,1,0.007,0.0
6326513,home,home2781122,00:05:00,11:20:00,11:25:00,2569717,1192131,00:00:00,00:00:00,01:00:00,00:50:00,-8.74,1,0.007,0.0
6326513,leisure,381922,11:25:00,00:15:00,11:40:00,2567712,1190524,01:00:00,00:00:00,01:00:00,00:50:00,-8.74,1,0.007,-8.74
6326513,home,home2781122,11:40:00,12:10:00,23:50:00,2569717,1192131,01:00:00,00:50:00,01:00:00,00:50:00,-8.74,1,0.007,-8.74
6326513,home,home2781122,23:50:00,00:10:00,23:59:00,2569717,1192131,01:00:00,00:50:00,01:00:00,00:50:00,-8.74,1,0.007,-8.74
6326604,home,home2781213,00:00:00,00:05:00,00:05:00,2569570,1192037,00:00:00,00:00:00,01:30:00,01:40:00,-16.065,0,0.004,0.0
6326604,home,home2781213,00:05:00,13:25:00,13:30:00,2569570,1192037,00:00:00,00:00:00,01:30:00,01:40:00,-16.065,0,0.004,0.0
6326604,leisure,380332,13:30:00,02:30:00,16:00:00,2576304,1185284,01:00:00,00:00:00,01:30:00,01:40:00,-16.065,0,0.004,-8.74
6326604,education,377679,16:00:00,07:45:00,23:45:00,2577388,1184855,01:30:00,01:25:00,01:30:00,01:40:00,-16.065,0,0.004,-24.915
6326604,home,home2781213,23:50:00,00:10:00,23:59:00,2569570,1192037,01:30:00,01:40:00,01:30:00,01:40:00,-16.065,0,0.004,-16.065
6326735,home,home2781344,00:00:00,00:05:00,00:05:00,2569797,1191932,00:00:00,00:00:00,01:00:00,01:00:00,-8.74,0,0.003,0.0
6326735,home,home2781344,00:05:00,16:40:00,16:45:00,2569797,1191932,00:00:00,00:00:00,01:00:00,01:00:00,-8.74,0,0.003,0.0
6326735,leisure,377155,16:45:00,03:15:00,20:00:00,2577784,1183910,01:00:00,00:00:00,01:00:00,01:00:00,-8.74,0,0.003,-8.74
6326735,home,home2781344,20:00:00,03:50:00,23:50:00,2569797,1191932,01:00:00,01:00:00,01:00:00,01:00:00,-8.74,0,0.003,-8.74
6326735,home,home2781344,23:50:00,00:10:00,23:59:00,2569797,1191932,01:00:00,01:00:00,01:00:00,01:00:00,-8.74,0,0.003,-8.74
6458764,home,home2907767,00:00:00,00:05:00,00:05:00,2569655,1192134,00:00:00,00:00:00,01:20:00,01:10:00,-25.444,8,0.045,0.0
6458764,home,home2907767,00:05:00,17:00:00,17:05:00,2569655,1192134,00:00:00,00:00:00,01:20:00,01:10:00,-25.444,8,0.045,0.0
6458764,education,377679,17:05:00,00:10:00,17:15:00,2577388,1184855,00:10:00,00:00:00,01:20:00,01:10:00,-25.444,8,0.045,-18.7
6458764,leisure,370107,17:40:00,02:05:00,19:45:00,2575916,1191020,01:20:00,00:10:00,01:20:00,01:10:00,-25.444,8,0.045,-25.944
6458764,home,home2907767,20:10:00,03:40:00,23:50:00,2569655,1192134,01:20:00,01:10:00,01:20:00,01:10:00,-25.444,8,0.045,-25.444
6458764,home,home2907767,23:50:00,00:10:00,23:59:00,2569655,1192134,01:20:00,01:10:00,01:20:00,01:10:00,-25.444,8,0.045,-25.444
6681674,home,home3013980,00:00:00,00:05:00,00:05:00,2569570,1192480,00:00:00,00:00:00,01:00:00,00:40:00,-8.74,1,0.007,0.0
6681674,home,home3013980,00:05:00,12:40:00,12:45:00,2569570,1192480,00:00:00,00:00:00,01:00:00,00:40:00,-8.74,1,0.007,0.0
6681674,leisure,370107,12:45:00,00:15:00,13:00:00,2575916,1191020,01:00:00,00:00:00,01:00:00,00:40:00,-8.74,1,0.007,-8.74
6681674,home,home3013980,13:00:00,10:50:00,23:50:00,2569570,1192480,01:00:00,00:40:00,01:00:00,00:40:00,-8.74,1,0.007,-8.74
6681674,home,home3013980,23:50:00,00:10:00,23:59:00,2569570,1192480,01:00:00,00:40:00,01:00:00,00:40:00,-8.74,1,0.007,-8.74
6681763,home,home3014002,00:00:00,00:05:00,00:05:00,2569592,1192838,00:00:00,00:00:00,01:10:00,00:40:00,-27.34,4,0.023,0.0
6681763,home,home3014002,00:05:00,17:05:00,17:10:00,2569592,1192838,00:00:00,00:00:00,01:10:00,00:40:00,-27.34,4,0.023,0.0
6681763,leisure,380332,17:10:00,00:30:00,17:40:00,2576304,1185284,01:00:00,00:00:00,01:10:00,00:40:00,-27.34,4,0.023,-8.74
6681763,education,377679,17:40:00,00:55:00,18:35:00,2577388,1184855,01:10:00,00:30:00,01:10:00,00:40:00,-27.34,4,0.023,-27.44
6681763,home,home3014002,18:40:00,05:10:00,23:50:00,2569592,1192838,01:10:00,00:40:00,01:10:00,00:40:00,-27.34,4,0.023,-27.34
6681763,home,home3014002,23:50:00,00:10:00,23:59:00,2569592,1192838,01:10:00,00:40:00,01:10:00,00:40:00,-27.34,4,0.023,-27.34
6920425,home,home3071780,00:00:00,00:05:00,00:05:00,2570927,1191833,00:00:00,00:00:00,01:10:00,01:10:00,-27.04,1,0.008,0.0
6920425,home,home3071780,00:05:00,07:15:00,07:20:00,2570927,1191833,00:00:00,00:00:00,01:10:00,01:10:00,-27.04,1,0.008,0.0
6920425,education,377679,07:25:00,04:30:00,11:55:00,2577388,1184855,00:10:00,00:00:00,01:10:00,01:10:00,-27.04,1,0.008,-18.6
6920425,home,home3071780,12:00:00,05:55:00,17:55:00,2570927,1191833,00:10:00,00:10:00,01:10:00,01:10:00,-27.04,1,0.008,-18.5
6920425,leisure,377155,18:00:00,00:30:00,18:30:00,2577784,1183910,01:10:00,00:10:00,01:10:00,01:10:00,-27.04,1,0.008,-27.14
6920425,home,home3071780,18:35:00,05:15:00,23:50:00,2570927,1191833,01:10:00,01:10:00,01:10:00,01:10:00,-27.04,1,0.008,-27.04
6920425,home,home3071780,23:50:00,00:10:00,23:59:00,2570927,1191833,01:10:00,01:10:00,01:10:00,01:10:00,-27.04,1,0.008,-27.04
6997283,home,home3092281,00:00:00,00:05:00,00:05:00,2569357,1192218,00:00:00,00:00:00,01:10:00,00:50:00,-27.34,1,0.007,0.0
6997283,home,home3092281,00:05:00,17:10:00,17:15:00,2569357,1192218,00:00:00,00:00:00,01:10:00,00:50:00,-27.34,1,0.007,0.0
6997283,leisure,377153,17:15:00,00:55:00,18:10:00,2567840,1190762,01:00:00,00:00:00,01:10:00,00:50:00,-27.34,1,0.007,-8.74
6997283,education,377679,18:10:00,01:50:00,20:00:00,2577388,1184855,01:10:00,00:40:00,01:10:00,00:50:00,-27.34,1,0.007,-27.44
6997283,home,home3092281,20:05:00,03:45:00,23:50:00,2569357,1192218,01:10:00,00:50:00,01:10:00,00:50:00,-27.34,1,0.007,-27.34
6997283,home,home3092281,23:50:00,00:10:00,23:59:00,2569357,1192218,01:10:00,00:50:00,01:10:00,00:50:00,-27.34,1,0.007,-27.34
