id,group,facility,start,duration,end_time,x,y,utility,deviation_start,deviation_dur,DSSR_iterations,execution_time,cum_utility
6326400,home,home2781009,00:00:00,00:05:00,00:05:00,2569685,1192500,-50.84,0,0,2,0.023,0.0
6326400,home,home2781009,00:05:00,07:05:00,07:10:00,2569685,1192500,-50.84,0,0,2,0.023,0.0
6326400,work,237806,07:15:00,00:15:00,07:30:00,2569716,1192131,-50.84,0,0,2,0.023,-13.0
6326400,home,home2781009,07:35:00,03:35:00,11:10:00,2569685,1192500,-50.84,0,0,2,0.023,-12.9
6326400,shop,381921,11:10:00,00:15:00,11:25:00,2567684,1190696,-50.84,0,0,2,0.023,-23.4
6326400,home,home2781009,11:25:00,01:15:00,12:40:00,2569685,1192500,-50.84,0,0,2,0.023,-23.4
6326400,education,377679,12:40:00,01:50:00,14:30:00,2577388,1184855,-50.84,0,0,2,0.023,-42.1
6326400,home,home2781009,14:30:00,00:15:00,14:45:00,2569685,1192500,-50.84,0,0,2,0.023,-42.1
6326400,leisure,377155,14:45:00,03:50:00,18:35:00,2577784,1183910,-50.84,0,0,2,0.023,-50.84
6326400,home,home2781009,18:35:00,05:15:00,23:50:00,2569685,1192500,-50.84,0,0,2,0.023,-50.84
6326400,home,home2781009,23:50:00,00:10:00,23:59:00,2569685,1192500,-50.84,0,0,2,0.023,-50.84
6326440,home,home2781049,00:00:00,00:05:00,00:05:00,2570010,1192712,-26.164,0,0,13,0.145,0.0
6326440,home,home2781049,00:05:00,13:00:00,13:05:00,2570010,1192712,-26.164,0,0,13,0.145,0.0
6326440,shop,380332,13:05:00,00:15:00,13:20:00,2576304,1185284,-26.164,0,0,13,0.145,-10.5
6326440,home,home2781049,13:20:00,02:50:00,16:10:00,2570010,1192712,-26.164,0,0,13,0.145,-10.5
6326440,leisure,377159,16:10:00,00:10:00,16:20:00,2577930,1184036,-26.164,0,0,13,0.145,-13.264
6326440,work,101368,16:25:00,03:50:00,20:15:00,2570072,1193633,-26.164,0,0,13,0.145,-26.264
6326440,home,home2781049,20:20:00,03:30:00,23:50:00,2570010,1192712,-26.164,0,0,13,0.145,-26.164
6326440,home,home2781049,23:50:00,00:10:00,23:59:00,2570010,1192712,-26.164,0,0,13,0.145,-26.164
6326513,home,home2781122,00:00:00,00:05:00,00:05:00,2569717,1192131,-30.94,0,0,2,0.024,0.0
6326513,home,home2781122,00:05:00,07:05:00,07:10:00,2569717,1192131,-30.94,0,0,2,0.024,0.0
6326513,work,9185,07:45:00,01:10:00,08:55:00,2572500,1181906,-30.94,0,0,2,0.024,-12.4
6326513,home,home2781122,09:30:00,01:55:00,11:25:00,2569717,1192131,-30.94,0,0,2,0.024,-11.7
6326513,leisure,381922,11:25:00,00:15:00,11:40:00,2567712,1190524,-30.94,0,0,2,0.024,-20.44
6326513,home,home2781122,11:40:00,03:40:00,15:20:00,2569717,1192131,-30.94,0,0,2,0.024,-20.44
6326513,shop,377155,15:20:00,00:15:00,15:35:00,2577784,1183910,-30.94,0,0,2,0.024,-30.94
6326513,home,home2781122,15:35:00,06:00:00,21:35:00,2569717,1192131,-30.94,0,0,2,0.024,-30.94
6326513,home,home2781122,21:35:00,02:25:00,23:59:00,2569717,1192131,-30.94,0,0,2,0.024,-30.94
6326604,home,home2781213,00:00:00,00:05:00,00:05:00,2569570,1192037,-35.245,0,0,1,0.016,0.0
6326604,home,home2781213,00:05:00,06:55:00,07:00:00,2569570,1192037,-35.245,0,0,1,0.016,0.0
6326604,shop,377159,07:00:00,00:15:00,07:15:00,2577930,1184036,-35.245,0,0,1,0.016,-10.5
6326604,home,home2781213,07:15:00,02:15:00,09:30:00,2569570,1192037,-35.245,0,0,1,0.016,-10.5
6326604,work,217533,10:30:00,02:15:00,12:45:00,2563648,1174083,-35.245,0,0,1,0.016,-22.4
6326604,home,home2781213,13:45:00,00:05:00,13:50:00,2569570,1192037,-35.245,0,0,1,0.016,-21.2
6326604,leisure,380332,13:50:00,02:10:00,16:00:00,2576304,1185284,-35.245,0,0,1,0.016,-29.94
6326604,education,377679,16:00:00,07:45:00,23:45:00,2577388,1184855,-35.245,0,0,1,0.016,-44.095
6326604,home,home2781213,23:50:00,00:10:00,23:59:00,2569570,1192037,-35.245,0,0,1,0.016,-35.245
6326735,home,home2781344,00:00:00,00:05:00,00:05:00,2569797,1191932,-32.14,0,0,1,0.018,0.0
6326735,home,home2781344,00:05:00,04:50:00,04:55:00,2569797,1191932,-32.14,0,0,1,0.018,0.0
6326735,work,460060,05:00:00,04:50:00,09:50:00,2569768,1193152,-32.14,0,0,1,0.018,-13.0
6326735,home,home2781344,09:55:00,00:55:00,10:50:00,2569797,1191932,-32.14,0,0,1,0.018,-12.9
6326735,shop,377155,10:50:00,00:15:00,11:05:00,2577784,1183910,-32.14,0,0,1,0.018,-23.4
6326735,home,home2781344,11:05:00,05:40:00,16:45:00,2569797,1191932,-32.14,0,0,1,0.018,-23.4
6326735,leisure,377155,16:45:00,03:15:00,20:00:00,2577784,1183910,-32.14,0,0,1,0.018,-32.14
6326735,home,home2781344,20:00:00,03:50:00,23:50:00,2569797,1191932,-32.14,0,0,1,0.018,-32.14
6326735,home,home2781344,23:50:00,00:10:00,23:59:00,2569797,1191932,-32.14,0,0,1,0.018,-32.14
6458764,home,home2907767,00:00:00,00:05:00,00:05:00,2569655,1192134,-48.044,0,0,9,0.141,0.0
6458764,home,home2907767,00:05:00,08:00:00,08:05:00,2569655,1192134,-48.044,0,0,9,0.141,0.0
6458764,shop,377155,08:05:00,00:15:00,08:20:00,2577784,1183910,-48.044,0,0,9,0.141,-10.5
6458764,home,home2907767,08:20:00,04:20:00,12:40:00,2569655,1192134,-48.044,0,0,9,0.141,-10.5
6458764,work,331301,13:05:00,02:50:00,15:55:00,2575364,1197238,-48.044,0,0,9,0.141,-23.1
6458764,home,home2907767,16:20:00,00:45:00,17:05:00,2569655,1192134,-48.044,0,0,9,0.141,-22.6
6458764,education,377679,17:05:00,00:10:00,17:15:00,2577388,1184855,-48.044,0,0,9,0.141,-41.3
6458764,leisure,370107,17:40:00,02:05:00,19:45:00,2575916,1191020,-48.044,0,0,9,0.141,-48.544
6458764,home,home2907767,20:10:00,03:40:00,23:50:00,2569655,1192134,-48.044,0,0,9,0.141,-48.044
6458764,home,home2907767,23:50:00,00:10:00,23:59:00,2569655,1192134,-48.044,0,0,9,0.141,-48.044
6681674,home,home3013980,00:00:00,00:05:00,00:05:00,2569570,1192480,-19.24,0,0,3,0.033,0.0
6681674,home,home3013980,00:05:00,12:40:00,12:45:00,2569570,1192480,-19.24,0,0,3,0.033,0.0
6681674,leisure,370107,12:45:00,00:15:00,13:00:00,2575916,1191020,-19.24,0,0,3,0.033,-8.74
6681674,home,home3013980,13:00:00,00:05:00,13:05:00,2569570,1192480,-19.24,0,0,3,0.033,-8.74
6681674,shop,377155,13:05:00,00:15:00,13:20:00,2577784,1183910,-19.24,0,0,3,0.033,-19.24
6681674,home,home3013980,13:20:00,10:30:00,23:50:00,2569570,1192480,-19.24,0,0,3,0.033,-19.24
6681674,home,home3013980,23:50:00,00:10:00,23:59:00,2569570,1192480,-19.24,0,0,3,0.033,-19.24
6681763,home,home3014002,00:00:00,00:05:00,00:05:00,2569592,1192838,-49.94,0,0,14,0.156,0.0
6681763,home,home3014002,00:05:00,11:35:00,11:40:00,2569592,1192838,-49.94,0,0,14,0.156,0.0
6681763,work,331301,12:05:00,00:15:00,12:20:00,2575364,1197238,-49.94,0,0,14,0.156,-12.6
6681763,home,home3014002,12:45:00,00:50:00,13:35:00,2569592,1192838,-49.94,0,0,14,0.156,-12.1
6681763,shop,377159,13:35:00,00:15:00,13:50:00,2577930,1184036,-49.94,0,0,14,0.156,-22.6
6681763,home,home3014002,13:50:00,03:20:00,17:10:00,2569592,1192838,-49.94,0,0,14,0.156,-22.6
6681763,leisure,380332,17:10:00,00:30:00,17:40:00,2576304,1185284,-49.94,0,0,14,0.156,-31.34
6681763,education,377679,17:40:00,00:55:00,18:35:00,2577388,1184855,-49.94,0,0,14,0.156,-50.04
6681763,home,home3014002,18:40:00,05:10:00,23:50:00,2569592,1192838,-49.94,0,0,14,0.156,-49.94
6681763,home,home3014002,23:50:00,00:10:00,23:59:00,2569592,1192838,-49.94,0,0,14,0.156,-49.94
6920425,home,home3071780,00:00:00,00:05:00,00:05:00,2570927,1191833,-35.946,0,0,12,0.137,0.0
6920425,home,home3071780,00:05:00,07:15:00,07:20:00,2570927,1191833,-35.946,0,0,12,0.137,0.0
6920425,education,377679,07:25:00,04:30:00,11:55:00,2577388,1184855,-35.946,0,0,12,0.137,-18.6
6920425,home,home3071780,12:00:00,04:00:00,16:00:00,2570927,1191833,-35.946,0,0,12,0.137,-18.5
6920425,shop,377155,16:05:00,01:35:00,17:40:00,2577784,1183910,-35.946,0,0,12,0.137,-28.9
6920425,leisure,377159,17:45:00,00:30:00,18:15:00,2577930,1184036,-35.946,0,0,12,0.137,-36.046
6920425,home,home3071780,18:20:00,05:30:00,23:50:00,2570927,1191833,-35.946,0,0,12,0.137,-35.946
6920425,home,home3071780,23:50:00,00:10:00,23:59:00,2570927,1191833,-35.946,0,0,12,0.137,-35.946
