id,group,facility,start,duration,end_time,x,y,deviation_start,deviation_dur,cum_utility,total_deviation_start,total_deviation_dur,utility,DSSR_iterations,execution_time
6336983,home,home2791592,00:00:00,00:05:00,00:05:00,2537882,1153047,00:00:00,00:00:00,0.0,00:15:00,00:15:00,-31.4,1,0.003
6336983,home,home2791592,00:05:00,17:45:00,17:50:00,2537882,1153047,00:00:00,00:00:00,0.0,00:15:00,00:15:00,-31.4,1,0.003
6336983,work,377251,18:00:00,01:55:00,19:55:00,2534640,1153687,00:10:00,00:00:00,-12.9,00:15:00,00:15:00,-31.4,1,0.003
6336983,education,376779,19:55:00,00:10:00,20:05:00,2537352,1152668,00:15:00,00:10:00,-31.6,00:15:00,00:15:00,-31.4,1,0.003
6336983,home,home2791592,20:15:00,03:35:00,23:50:00,2537882,1153047,00:15:00,00:15:00,-31.4,00:15:00,00:15:00,-31.4,1,0.003
6336983,home,home2791592,23:50:00,00:10:00,23:59:00,2537882,1153047,00:15:00,00:15:00,-31.4,00:15:00,00:15:00,-31.4,1,0.003
6337004,home,home2791613,00:00:00,00:05:00,00:05:00,2539169,1152766,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.7,1,0.006
6337004,home,home2791613,00:05:00,17:40:00,17:45:00,2539169,1152766,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.7,1,0.006
6337004,education,376779,17:45:00,02:30:00,20:15:00,2537352,1152668,00:10:00,00:00:00,-18.7,00:10:00,00:10:00,-18.7,1,0.006
6337004,home,home2791613,20:15:00,03:35:00,23:50:00,2539169,1152766,00:10:00,00:10:00,-18.7,00:10:00,00:10:00,-18.7,1,0.006
6337004,home,home2791613,23:50:00,00:10:00,23:59:00,2539169,1152766,00:10:00,00:10:00,-18.7,00:10:00,00:10:00,-18.7,1,0.006
6337016,home,home2791625,00:00:00,00:05:00,00:05:00,2537711,1151300,00:00:00,00:00:00,0.0,01:20:00,00:30:00,-39.9,1,0.003
6337016,home,home2791625,00:05:00,06:55:00,07:00:00,2537711,1151300,00:00:00,00:00:00,0.0,01:20:00,00:30:00,-39.9,1,0.003
6337016,education,376779,07:00:00,00:50:00,07:50:00,2537352,1152668,00:10:00,00:00:00,-18.7,01:20:00,00:30:00,-39.9,1,0.003
6337016,home,home2791625,07:50:00,01:20:00,09:10:00,2537711,1151300,00:10:00,00:10:00,-18.7,01:20:00,00:30:00,-39.9,1,0.003
6337016,shop,381504,09:10:00,00:15:00,09:25:00,2536512,1152284,01:10:00,00:10:00,-29.2,01:20:00,00:30:00,-39.9,1,0.003
6337016,home,home2791625,09:25:00,02:25:00,11:50:00,2537711,1151300,01:10:00,00:20:00,-29.2,01:20:00,00:30:00,-39.9,1,0.003
6337016,work,14936,12:50:00,04:40:00,17:30:00,2555086,1145203,01:20:00,00:20:00,-41.1,01:20:00,00:30:00,-39.9,1,0.003
6337016,home,home2791625,18:30:00,05:20:00,23:50:00,2537711,1151300,01:20:00,00:30:00,-39.9,01:20:00,00:30:00,-39.9,1,0.003
6337016,home,home2791625,23:50:00,00:10:00,23:59:00,2537711,1151300,01:20:00,00:30:00,-39.9,01:20:00,00:30:00,-39.9,1,0.003
6337018,home,home2791627,00:00:00,00:05:00,00:05:00,2538003,1152928,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.7,0,0.001
6337018,home,home2791627,00:05:00,10:20:00,10:25:00,2538003,1152928,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.7,0,0.001
6337018,education,376779,10:25:00,01:30:00,11:55:00,2537352,1152668,00:10:00,00:00:00,-18.7,00:10:00,00:10:00,-18.7,0,0.001
6337018,home,home2791627,11:55:00,11:55:00,23:50:00,2538003,1152928,00:10:00,00:10:00,-18.7,00:10:00,00:10:00,-18.7,0,0.001
6337018,home,home2791627,23:50:00,00:10:00,23:59:00,2538003,1152928,00:10:00,00:10:00,-18.7,00:10:00,00:10:00,-18.7,0,0.001
6337032,home,home2791641,00:00:00,00:05:00,00:05:00,2536412,1152042,00:00:00,00:00:00,0.0,01:10:00,00:15:00,-28.8,0,0.002
6337032,home,home2791641,00:05:00,11:25:00,11:30:00,2536412,1152042,00:00:00,00:00:00,0.0,01:10:00,00:15:00,-28.8,0,0.002
6337032,shop,381504,11:40:00,00:15:00,11:55:00,2536512,1152284,01:00:00,00:00:00,-10.3,01:10:00,00:15:00,-28.8,0,0.002
6337032,home,home2791641,12:05:00,04:15:00,16:20:00,2536412,1152042,01:00:00,00:05:00,-10.1,01:10:00,00:15:00,-28.8,0,0.002
6337032,education,376779,16:20:00,07:25:00,23:45:00,2537352,1152668,01:10:00,00:05:00,-28.8,01:10:00,00:15:00,-28.8,0,0.002
6337032,home,home2791641,23:45:00,00:05:00,23:50:00,2536412,1152042,01:10:00,00:15:00,-28.8,01:10:00,00:15:00,-28.8,0,0.002
6337032,home,home2791641,23:50:00,00:10:00,23:59:00,2536412,1152042,01:10:00,00:15:00,-28.8,01:10:00,00:15:00,-28.8,0,0.002
6337057,home,home2791666,00:00:00,00:05:00,00:05:00,2539523,1153014,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.5,0,0.002
6337057,home,home2791666,00:05:00,08:35:00,08:40:00,2539523,1153014,00:00:00,00:00:00,0.0,00:10:00,00:10:00,-18.5,0,0.002
6337057,education,376779,08:45:00,02:15:00,11:00:00,2537352,1152668,00:10:00,00:00:00,-18.6,00:10:00,00:10:00,-18.5,0,0.002
6337057,home,home2791666,11:05:00,12:45:00,23:50:00,2539523,1153014,00:10:00,00:10:00,-18.5,00:10:00,00:10:00,-18.5,0,0.002
6337057,home,home2791666,23:50:00,00:10:00,23:59:00,2539523,1153014,00:10:00,00:10:00,-18.5,00:10:00,00:10:00,-18.5,0,0.002
6337113,home,home2791722,00:00:00,00:05:00,00:05:00,2539197,1152506,00:00:00,00:00:00,0.0,01:00:00,01:10:00,-40.5,1,0.005
6337113,home,home2791722,00:05:00,05:45:00,05:50:00,2539197,1152506,00:00:00,00:00:00,0.0,01:00:00,01:10:00,-40.5,1,0.005
6337113,work,606649,06:35:00,00:10:00,06:45:00,2552566,1157804,00:10:00,00:00:00,-12.2,01:00:00,01:10:00,-40.5,1,0.005
6337113,education,376779,07:30:00,01:50:00,09:20:00,2537352,1152668,00:20:00,00:10:00,-30.0,01:00:00,01:10:00,-40.5,1,0.005
6337113,shop,381504,09:20:00,00:10:00,09:30:00,2536512,1152284,01:00:00,00:20:00,-40.5,01:00:00,01:10:00,-40.5,1,0.005
6337113,home,home2791722,09:30:00,14:20:00,23:50:00,2539197,1152506,01:00:00,01:10:00,-40.5,01:00:00,01:10:00,-40.5,1,0.005
6337113,home,home2791722,23:50:00,00:10:00,23:59:00,2539197,1152506,01:00:00,01:10:00,-40.5,01:00:00,01:10:00,-40.5,1,0.005
6337142,home,home2791751,00:00:00,00:05:00,00:05:00,2536265,1152224,00:00:00,00:00:00,0.0,00:20:00,00:20:00,-31.4,0,0.003
6337142,home,home2791751,00:05:00,14:25:00,14:30:00,2536265,1152224,00:00:00,00:00:00,0.0,00:20:00,00:20:00,-31.4,0,0.003
6337142,education,376779,14:30:00,02:55:00,17:25:00,2537352,1152668,00:10:00,00:00:00,-18.7,00:20:00,00:20:00,-31.4,0,0.003
6337142,home,home2791751,17:25:00,01:05:00,18:30:00,2536265,1152224,00:10:00,00:10:00,-18.7,00:20:00,00:20:00,-31.4,0,0.003
