id,age,bikeAvailability,carAvail,employed,hasLicense,home_x,home_y,householdIncome,isCarPassenger,municipalityType,ptHasGA,ptHasHalbtax,ptHasStrecke,ptHasVerbund,sex,spRegion,postcode,canton,local,municipality,muni_index,wgs84_e,wgs84_n,agent_index
6326400,25,FOR_ALL,always,True,yes,2569685.0,1192500.0,,False,,False,False,False,False,m,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,21270
6326440,69,FOR_NONE,always,True,yes,2570010.0,1192712.0,,False,,False,False,False,False,m,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,21310
6326513,63,FOR_NONE,always,True,yes,2569717.0,1192131.0,,False,,False,True,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,21383
6326604,74,FOR_NONE,always,False,yes,2569570.0,1192037.0,,False,,False,True,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,21474
6326735,78,FOR_NONE,always,True,yes,2569797.0,1191932.0,,False,,False,True,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,21605
6458764,44,FOR_NONE,always,True,yes,2569655.0,1192134.0,,False,,False,True,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,153203
6681674,57,FOR_ALL,sometimes,False,yes,2569570.0,1192480.0,,False,,False,True,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,375026
6681763,48,FOR_ALL,always,True,yes,2569592.0,1192838.0,,False,,False,False,False,False,m,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,375115
6920425,15,FOR_SOME,never,False,no,2570927.0,1191833.0,,False,,False,False,True,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,612604
6997283,61,FOR_ALL,always,True,yes,2569357.0,1192218.0,,False,,False,False,False,False,f,2,1580,VD,Avenches,Avenches,5451,7.040606869945081,46.88024835092666,688984
