Unnamed: 0,id,type,facility,link,x,y,start_time,end_time,group,earliest_start,latest_start,max_duration,min_duration
33957101,6682237,education,375697,59168,2569734,1192310,07:57:54,11:37:54,1,84,276,132,6
33959868,6682719,education,377255,331108,2561744,1185833,07:35:53,09:55:53,1,84,276,132,6
33958775,6682521,education,377255,331108,2561744,1185833,07:45:52,11:37:52,1,84,276,132,6
33953545,6681607,education,377155,468102,2577784,1183910,07:32:17,16:37:17,1,84,276,132,6
36082709,7030310,education,375697,59168,2569734,1192310,06:47:59,11:29:59,1,84,276,132,6
33955772,6682002,education,375697,59168,2569734,1192310,13:20:04,15:05:04,1,84,276,132,6
36063041,7026958,education,377155,468102,2577784,1183910,08:06:59,11:36:59,1,84,276,132,6
33956505,6682124,education,375697,59168,2569734,1192310,14:19:39,16:02:39,1,84,276,132,6
33953689,6681634,education,377153,181206,2567840,1190762,07:45:23,15:45:23,1,84,276,132,6
36187105,7047683,education,375697,59168,2569734,1192310,07:49:42,11:01:42,1,84,276,132,6
36034361,7022275,education,375697,59168,2569734,1192310,08:21:32,12:21:32,1,84,276,132,6
35672879,6961832,education,376646,471287,2575936,1196944,07:46:07,11:33:07,1,84,276,132,6
33961255,6682949,education,379243,73529,2577788,1186390,07:35:54,16:15:54,1,84,276,132,6
33953844,6681664,education,377159,681525,2577930,1184036,13:15:02,15:50:02,1,84,276,132,6
35594679,6948687,education,377255,331108,2561744,1185833,08:22:52,12:07:52,1,84,276,132,6
33960369,6682795,education,382537,59168,2569734,1192310,08:05:14,11:40:14,1,84,276,132,6
33955944,6682031,education,375697,59168,2569734,1192310,13:48:37,16:28:37,1,84,276,132,6
31850256,6326425,education,380332,68110,2576304,1185284,18:03:15,19:18:15,1,84,276,132,6
33834352,6661905,education,381922,744136,2567712,1190524,07:30:56,11:25:56,1,84,276,132,6
33957143,6682243,education,382537,59168,2569734,1192310,07:49:01,11:44:01,1,84,276,132,6
36066812,7027609,education,375697,59168,2569734,1192310,07:54:46,11:44:46,1,84,276,132,6
36187115,7047685,education,377255,331108,2561744,1185833,07:20:08,11:47:08,1,84,276,132,6
35757675,6976225,education,377159,681525,2577930,1184036,07:46:23,16:55:23,1,84,276,132,6
33959937,6682724,education,375697,59168,2569734,1192310,12:52:16,15:37:16,1,84,276,132,6
33958335,6682445,education,377159,681525,2577930,1184036,06:53:44,12:13:44,1,84,276,132,6
35836694,6989414,education,382576,59016,2570980,1191815,12:58:31,15:10:31,1,84,276,132,6
33953753,6681649,education,381922,744136,2567712,1190524,08:10:46,11:50:46,1,84,276,132,6
35946130,7007681,education,375697,59168,2569734,1192310,13:06:21,15:44:21,1,84,276,132,6
36126429,7037611,education,375697,59168,2569734,1192310,08:10:14,12:00:14,1,84,276,132,6
35507645,6934157,education,376646,471287,2575936,1196944,13:39:43,16:16:43,1,84,276,132,6
33955510,6681959,education,376648,710367,2579444,1193487,17:21:52,17:51:52,1,84,276,132,6
35519721,6936150,education,375697,59168,2569734,1192310,07:33:13,11:18:13,1,84,276,132,6
33958443,6682464,education,382431,86309,2576304,1190422,13:22:55,15:17:55,1,84,276,132,6
35580039,6946265,education,382537,59168,2569734,1192310,07:23:01,11:48:01,1,84,276,132,6
35531623,6938110,education,381922,744136,2567712,1190524,13:45:33,16:35:33,1,84,276,132,6
33960463,6682803,education,375697,59168,2569734,1192310,13:24:36,16:09:36,1,84,276,132,6
33954479,6681782,education,370107,942160,2575916,1191020,20:00:17,22:15:17,1,84,276,132,6
33953453,6681587,education,375697,59168,2569734,1192310,13:06:48,17:39:48,1,84,276,132,6
33960149,6682764,education,380835,73529,2577788,1186390,09:29:30,19:59:30,1,84,276,132,6
36109401,7034711,education,375697,59168,2569734,1192310,08:09:06,11:29:06,1,84,276,132,6
36698384,7132615,education,375697,59168,2569734,1192310,08:21:59,14:27:59,1,84,276,132,6
33958381,6682453,education,377153,181206,2567840,1190762,12:56:08,15:53:08,1,84,276,132,6
35423989,6920425,education,377679,761637,2577388,1184855,07:51:30,11:26:30,1,84,276,132,6
36383336,7080373,education,381921,8660,2567684,1190696,07:49:44,11:48:44,1,84,276,132,6
33953432,6681582,education,381921,8660,2567684,1190696,08:50:27,12:20:27,1,84,276,132,6
33958697,6682510,education,381921,8660,2567684,1190696,08:21:27,12:01:27,1,84,276,132,6
36342675,7073602,education,380332,68110,2576304,1185284,07:17:54,15:47:54,1,84,276,132,6
36234789,7055621,education,375697,59168,2569734,1192310,13:15:43,15:10:43,1,84,276,132,6
33957310,6682269,education,376646,471287,2575936,1196944,13:27:31,15:59:31,1,84,276,132,6
35889832,6998357,education,380332,68110,2576304,1185284,14:23:17,20:15:17,1,84,276,132,6
33957261,6682261,education,376646,471287,2575936,1196944,13:56:14,15:46:14,1,84,276,132,6
36158977,7043043,education,375697,59168,2569734,1192310,13:49:01,15:54:01,1,84,276,132,6
33954733,6681822,education,375697,59168,2569734,1192310,07:34:14,12:03:14,1,84,276,132,6
33956663,6682153,education,376646,471287,2575936,1196944,08:12:12,11:52:12,1,84,276,132,6
33954394,6681765,education,380332,68110,2576304,1185284,07:27:37,15:28:37,1,84,276,132,6
