id,type,facility,x,y,group,earliest_start,latest_start,max_duration,min_duration
6682632,education,376646,2575936,1196944,1,84,276,120,2
6682952,education,375697,2569734,1192310,1,84,276,120,2
6682107,education,375697,2569734,1192310,1,84,276,120,2
6681895,education,380332,2576304,1185284,1,84,276,120,2
6682315,education,377153,2567840,1190762,1,84,276,120,2
6994559,education,379243,2577788,1186390,1,84,276,120,2
6326352,education,380301,2577812,1186419,1,84,276,120,2
6326411,education,380332,2576304,1185284,1,84,276,120,2
6682775,education,375697,2569734,1192310,1,84,276,120,2
7048904,education,375697,2569734,1192310,1,84,276,120,2
7030807,education,379241,2577788,1186390,1,84,276,120,2
6940248,education,450352,2571430,1186971,1,84,276,120,2
6681944,education,375697,2569734,1192310,1,84,276,120,2
6976225,education,377159,2577930,1184036,1,84,276,120,2
6682778,education,380301,2577812,1186419,1,84,276,120,2
6682150,education,377255,2561744,1185833,1,84,276,120,2
6682464,education,382431,2576304,1190422,1,84,276,120,2
6682302,education,375697,2569734,1192310,1,84,276,120,2
6682396,education,377153,2567840,1190762,1,84,276,120,2
7022418,education,450352,2571430,1186971,1,84,276,120,2
6682551,education,382576,2570980,1191815,1,84,276,120,2
6681581,education,376646,2575936,1196944,1,84,276,120,2
6930232,education,382537,2569734,1192310,1,84,276,120,2
6682899,education,382537,2569734,1192310,1,84,276,120,2
6428157,education,380332,2576304,1185284,1,84,276,120,2
7133032,education,377155,2577784,1183910,1,84,276,120,2
6326471,education,380835,2577788,1186390,1,84,276,120,2
6681649,education,381922,2567712,1190524,1,84,276,120,2
7123994,education,381921,2567684,1190696,1,84,276,120,2
6682719,education,377255,2561744,1185833,1,84,276,120,2
6681735,education,377255,2561744,1185833,1,84,276,120,2
6920425,education,377679,2577388,1184855,1,84,276,120,2
6953096,education,381921,2567684,1190696,1,84,276,120,2
6326467,education,380332,2576304,1185284,1,84,276,120,2
6936153,education,375697,2569734,1192310,1,84,276,120,2
6970263,education,381921,2567684,1190696,1,84,276,120,2
6942437,education,375697,2569734,1192310,1,84,276,120,2
6682237,education,375697,2569734,1192310,1,84,276,120,2
6682235,education,376648,2579444,1193487,1,84,276,120,2
6682441,education,375697,2569734,1192310,1,84,276,120,2
6681582,education,381921,2567684,1190696,1,84,276,120,2
6600311,education,377155,2577784,1183910,1,84,276,120,2
7121306,education,377155,2577784,1183910,1,84,276,120,2
6682798,education,375697,2569734,1192310,1,84,276,120,2
6682046,education,375697,2569734,1192310,1,84,276,120,2
6682404,education,376646,2575936,1196944,1,84,276,120,2
6984506,education,375697,2569734,1192310,1,84,276,120,2
6929252,education,313980,2562008,1184975,1,84,276,120,2
6933151,education,377159,2577930,1184036,1,84,276,120,2
7071811,education,376646,2575936,1196944,1,84,276,120,2
7080570,education,370107,2575916,1191020,1,84,276,120,2
7074631,education,381921,2567684,1190696,1,84,276,120,2
6682722,education,376648,2579444,1193487,1,84,276,120,2
7087263,education,381922,2567712,1190524,1,84,276,120,2
6682982,education,382431,2576304,1190422,1,84,276,120,2
6681670,education,375697,2569734,1192310,1,84,276,120,2
7123712,education,376646,2575936,1196944,1,84,276,120,2
7084468,education,376646,2575936,1196944,1,84,276,120,2
7026957,education,377159,2577930,1184036,1,84,276,120,2
6936150,education,375697,2569734,1192310,1,84,276,120,2
6459287,education,380835,2577788,1186390,1,84,276,120,2
6681765,education,380332,2576304,1185284,1,84,276,120,2
6682016,education,313980,2562008,1184975,1,84,276,120,2
6989418,education,381921,2567684,1190696,1,84,276,120,2
6622410,education,377255,2561744,1185833,1,84,276,120,2
7131841,education,377161,2578644,1184502,1,84,276,120,2
6936589,education,379776,2572034,1192548,1,84,276,120,2
6682326,education,379776,2572034,1192548,1,84,276,120,2
6681874,education,375697,2569734,1192310,1,84,276,120,2
7102964,education,382576,2570980,1191815,1,84,276,120,2
6459022,education,380301,2577812,1186419,1,84,276,120,2
6682310,education,376648,2579444,1193487,1,84,276,120,2
6681911,education,376646,2575936,1196944,1,84,276,120,2
6682396,education,377153,2567840,1190762,1,84,276,120,2
6326537,education,380332,2576304,1185284,1,84,276,120,2
7020202,education,375697,2569734,1192310,1,84,276,120,2
6682243,education,382537,2569734,1192310,1,84,276,120,2
6681566,education,375697,2569734,1192310,1,84,276,120,2
6681953,education,375697,2569734,1192310,1,84,276,120,2
6682421,education,375697,2569734,1192310,1,84,276,120,2
