Unnamed: 0,id,type,facility,link,x,y,start_time,end_time,group,earliest_start,latest_start,max_duration,min_duration
35743168,6973781,education,381489,4524,2538852,1151866,08:11:58,11:13:58,1,84,276,132,6
36285028,7063955,education,377274,121143,2538078,1151306,12:59:19,16:34:19,1,84,276,132,6
32834987,6488662,leisure,193725,154543,2536928,1153795,19:45:59,21:35:59,3,0,288,132,6
32094454,6364786,leisure,223884,364309,2538790,1151821,18:59:23,20:04:23,3,0,288,132,6
32831152,6488008,leisure,445588,328084,2538792,1151743,13:58:46,15:43:46,3,0,288,132,6
32840392,6489606,leisure,635132,897008,2555816,1155246,08:58:47,09:28:47,3,0,288,132,6
34339930,6744714,leisure,631063,552888,2540784,1151415,08:17:10,10:22:10,3,0,288,132,6
32063815,6360015,leisure,33044,279556,2543814,1149609,17:38:16,18:53:16,3,0,288,132,6
32011516,6352039,leisure,452819,383701,2541602,1155675,20:24:44,22:04:44,3,0,288,132,6
34338243,6744446,shop,300102,926324,2537942,1152748,16:29:58,18:19:58,4,84,240,132,6
35483524,6930221,shop,608667,829653,2539896,1152226,12:28:06,17:48:06,4,84,240,132,6
36198779,7049598,shop,190491,185435,2539656,1151783,13:52:38,13:57:38,4,84,240,132,6
34262138,6731934,shop,519458,938787,2538412,1154060,13:37:13,14:10:13,4,84,240,132,6
32489801,6428811,shop,346934,380980,2538810,1152729,17:04:00,17:29:00,4,84,240,132,6
32861837,6493326,work,279164,123334,2546406,1195194,08:47:09,18:27:09,2,60,276,132,6
32021842,6353614,work,69014,855105,2500936,1117675,13:18:05,18:59:05,2,60,276,132,6
34286859,6735976,work,345456,46780,2538268,1152603,06:33:41,15:58:41,2,60,276,132,6
35602912,6950104,work,53006,25184,2535866,1153216,12:28:16,16:26:16,2,60,276,132,6
34284657,6735598,work,211602,371248,2538918,1152920,13:20:30,17:30:30,2,60,276,132,6
32088532,6363862,work,92517,699943,2538162,1152508,08:11:01,11:59:01,2,60,276,132,6
32505472,6431316,work,101958,1040168,2531366,1174893,08:44:08,11:33:08,2,60,276,132,6
33751352,6647804,work,217413,22722,2537418,1152894,07:12:49,12:17:49,2,60,276,132,6
